t,basic_wheel3x1.Struktur.w_a[1],basic_wheel3x1.Struktur.w_a[2],basic_wheel3x1.Struktur.w_a[3]
s,rad/s,rad/s,rad/s
8.938028186012,0.0999999994070194,-2.37468378533468e-008,-7.01620757043196e-008
8.978528186012,0.0999999998289691,-2.37839815821428e-008,-6.9680278996799e-008
9.019028186012,0.0999999995534373,-2.49823257511417e-008,-6.97325296672787e-008
9.059528186012,0.100000000556625,-2.4467767412865e-008,-6.97632657161596e-008
9.100028186012,0.100000000548041,-2.40456812860236e-008,-6.96126001634149e-008
9.140528186012,0.100000000614572,-2.36238525615387e-008,-6.94712773852721e-008
9.181028186012,0.100000000364144,-2.39261454840274e-008,-6.93531765922814e-008
9.221528186012,0.100000000205705,-2.42492307956055e-008,-6.92499829189545e-008
9.262028186012,0.100000000081039,-2.43826774091597e-008,-6.91261092167107e-008
9.302528186012,0.100000000277021,-2.44915380645188e-008,-6.92374858657841e-008
9.343028186012,0.100000000096825,-2.4889782245964e-008,-6.91404081583229e-008
9.383528186012,0.099999999984354,-2.53162207781524e-008,-6.89595441313178e-008
9.424028186012,0.0999999998842976,-2.57098834133751e-008,-6.87810856017619e-008
9.464528186012,0.099999999795764,-2.61011159189628e-008,-6.86462555861315e-008
9.505028186012,0.0999999998172614,-2.6386105888838e-008,-6.85178858586801e-008
9.545528186012,0.100000000060771,-2.64372665236281e-008,-6.83424347314008e-008
9.586028186012,0.0999999999694828,-2.68897060719974e-008,-6.82585132880015e-008
9.626528186012,0.100000000770644,-2.66607486076902e-008,-6.8052859521043e-008
9.667028186012,0.100000000254962,-2.73846010099759e-008,-6.79559909884537e-008
9.707528186012,0.100000000372639,-2.74719531476147e-008,-6.77528483662939e-008
9.748028186012,0.100000000010804,-2.81076887518536e-008,-6.76958835231805e-008
9.788528186012,0.0999999998371221,-2.83473831777195e-008,-6.75389670213239e-008
9.829028186012,0.099999999747608,-2.8818148013128e-008,-6.74977776661231e-008
9.869528186012,0.0999999984699799,-2.99111985466027e-008,-6.77136065051826e-008
9.910028186012,0.0999999997576708,-2.93547121857141e-008,-6.75297249592225e-008
9.950528186012,0.100000000123893,-2.9598598637964e-008,-6.73179265783404e-008
9.991028186012,0.100000000213772,-2.98426409181163e-008,-6.71883841750748e-008
10.021140678407,0.0966610071504762,0.0291188356924492,0.0167404303620243
10.05397410687,0.0854133264747456,0.0589139996933866,0.0395223152138796
10.085544711158,0.073567609240618,0.077420205410545,0.0579641988858426
10.1157998736,0.0636033127886273,0.0896374819338282,0.072713620448568
10.14740994114,0.0552731173810787,0.0985856150844165,0.0853572808072678
10.178735873242,0.0490773880611442,0.104711575679286,0.095397950561025
10.209518396311,0.0447259282357431,0.108761228066091,0.103140257045902
10.240588606507,0.0417664778959233,0.11135341280691,0.109099874563993
10.271658816703,0.0399468305341503,0.112809946278464,0.113461777973332
10.302534838076,0.0390072360378027,0.113416734068624,0.116459197492949
10.332537009784,0.0387169329672197,0.113416738415562,0.118307364779721
10.363995597592,0.038891606480767,0.112972592097735,0.119322658460243
10.3954541854,0.039407793416813,0.112220009507615,0.119580917506732
10.426912773208,0.0401463812775002,0.111274647884903,0.119249397429123
10.458371361016,0.0410155641653955,0.110224840913772,0.118472829493027
10.489829948824,0.0419460678468866,0.109136647376999,0.117374685302727
10.521354075355,0.0428888879007624,0.108055926623125,0.116055819759472
10.552321122716,0.0437898485272927,0.10703663474582,0.114630894389922
10.584172942856,0.044665587698599,0.106054645312521,0.113101889309579
10.616024762996,0.0454736357548298,0.105154024390872,0.111565475350731
10.647876583136,0.0462050479747751,0.104341952022573,0.110065966477627
10.678401244102,0.0468307767566756,0.103648680772015,0.108694180838084
10.71124843362,0.0474222712232907,0.102993796000041,0.10731335242569
10.744095623138,0.0479322823881712,0.102428783103391,0.106047847923877
10.776942812656,0.0483662586686989,0.10194708174898,0.104907257098298
10.809790002174,0.048730870420217,0.101541055469357,0.103895210135475
10.842637191692,0.0490333850268437,0.101202602378693,0.103010695885053
10.87548438121,0.0492812083739201,0.100923592228325,0.102249200599331
10.908331570728,0.0494815607212063,0.100696174964612,0.101603677543865
10.941178760246,0.0496412605897921,0.100512987391379,0.101065359669776
10.974025949764,0.0497665901892946,0.100367275163889,0.100624427858573
11.006873139282,0.0498632190404479,0.100252956942474,0.100270550709021
11.0397203288,0.0499361780278931,0.100164646043956,0.0999933103697503
11.072567518318,0.0499898642516677,0.100097637315613,0.0997825291444749
11.105414707836,0.0500280666458175,0.100047873151706,0.0996285106637885
11.138261897354,0.0500540087683885,0.100011897272035,0.0995222095214582
